From	To	Species	Gene Name
Synrg	217030	Mus musculus	synergin, gamma(Synrg)
Kdr	16542	Mus musculus	kinase insert domain protein receptor(Kdr)
Sh3bp5l	79566	Mus musculus	SH3 binding domain protein 5 like(Sh3bp5l)
Sox9	20682	Mus musculus	SRY (sex determining region Y)-box 9(Sox9)
Tmem72	319776	Mus musculus	transmembrane protein 72(Tmem72)
Tns3	319939	Mus musculus	tensin 3(Tns3)
Ammecr1l	225339	Mus musculus	AMME chromosomal region gene 1-like(Ammecr1l)
Slc4a5	232156	Mus musculus	solute carrier family 4, sodium bicarbonate cotransporter, member 5(Slc4a5)
Slc4a8	59033	Mus musculus	solute carrier family 4 (anion exchanger), member 8(Slc4a8)
Pcsk2os1	378776	Mus musculus	proprotein convertase subtilisin/kexin type 2, opposite strand 1(Pcsk2os1)
Gm867	333670	Mus musculus	predicted gene 867(Gm867)
8030462N17Rik	212163	Mus musculus	RIKEN cDNA 8030462N17 gene(8030462N17Rik)
Mif	17319	Mus musculus	macrophage migration inhibitory factor (glycosylation-inhibiting factor)(Mif)
Phlpp2	244650	Mus musculus	PH domain and leucine rich repeat protein phosphatase 2(Phlpp2)
Sstr4	20608	Mus musculus	somatostatin receptor 4(Sstr4)
Ccdc124	234388	Mus musculus	coiled-coil domain containing 124(Ccdc124)
2810029C07Rik	100504687	Mus musculus	RIKEN cDNA 2810029C07 gene(2810029C07Rik)
Ahsa1	217737	Mus musculus	AHA1, activator of heat shock protein ATPase 1(Ahsa1)
Mir5114	100628619	Mus musculus	microRNA 5114(Mir5114)
Rnf125	67664	Mus musculus	ring finger protein 125(Rnf125)
Phox2a	11859	Mus musculus	paired-like homeobox 2a(Phox2a)
Snapc5	330959	Mus musculus	small nuclear RNA activating complex, polypeptide 5(Snapc5)
Arhgef6	73341	Mus musculus	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6(Arhgef6)
Bex2	12069	Mus musculus	brain expressed X-linked 2(Bex2)
Dhx8	217207	Mus musculus	DEAH (Asp-Glu-Ala-His) box polypeptide 8(Dhx8)
Aldh6a1	104776	Mus musculus	aldehyde dehydrogenase family 6, subfamily A1(Aldh6a1)
Tmcc3	319880	Mus musculus	transmembrane and coiled coil domains 3(Tmcc3)
Tbl1x	21372	Mus musculus	transducin (beta)-like 1 X-linked(Tbl1x)
Zfhx2os	432855	Mus musculus	zinc finger homeobox 2, opposite strand(Zfhx2os)
Calm2	12314	Mus musculus	calmodulin 2(Calm2)
Zfp251	71591	Mus musculus	zinc finger protein 251(Zfp251)
Vipr2	22355	Mus musculus	vasoactive intestinal peptide receptor 2(Vipr2)
Dhtkd1	209692	Mus musculus	dehydrogenase E1 and transketolase domain containing 1(Dhtkd1)
Adarb1	110532	Mus musculus	adenosine deaminase, RNA-specific, B1(Adarb1)
Vstm2l	277432	Mus musculus	V-set and transmembrane domain containing 2-like(Vstm2l)
Soga1	320706	Mus musculus	suppressor of glucose, autophagy associated 1(Soga1)
Slc5a5	114479	Mus musculus	solute carrier family 5 (sodium iodide symporter), member 5(Slc5a5)
Cdr1	631990	Mus musculus	cerebellar degeneration related antigen 1(Cdr1)
Mtus1	102103	Mus musculus	mitochondrial tumor suppressor 1(Mtus1)
Egr1	13653	Mus musculus	early growth response 1(Egr1)
4932702P03Rik	73326	Mus musculus	RIKEN cDNA 4932702P03 gene(4932702P03Rik)
Slc11a2	18174	Mus musculus	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2(Slc11a2)
Acer2	230379	Mus musculus	alkaline ceramidase 2(Acer2)
Egr4	13656	Mus musculus	early growth response 4(Egr4)
Igf2	16002	Mus musculus	insulin-like growth factor 2(Igf2)
Gdf1	14559	Mus musculus	growth differentiation factor 1(Gdf1)
Firre	103012	Mus musculus	functional intergenic repeating RNA element(Firre)
Zfp366	238803	Mus musculus	zinc finger protein 366(Zfp366)
Caln1	140904	Mus musculus	calneuron 1(Caln1)
Rps21	66481	Mus musculus	ribosomal protein S21(Rps21)
Ptk2	14083	Mus musculus	PTK2 protein tyrosine kinase 2(Ptk2)
Rps24	20088	Mus musculus	ribosomal protein S24(Rps24)
Sugp2	234373	Mus musculus	SURP and G patch domain containing 2(Sugp2)
Crebbp	12914	Mus musculus	CREB binding protein(Crebbp)
Rtel1	269400	Mus musculus	regulator of telomere elongation helicase 1(Rtel1)
Cyfip2	76884	Mus musculus	cytoplasmic FMR1 interacting protein 2(Cyfip2)
Etl4	208618	Mus musculus	enhancer trap locus 4(Etl4)
Igsf3	78908	Mus musculus	immunoglobulin superfamily, member 3(Igsf3)
Jakmip2	76217	Mus musculus	janus kinase and microtubule interacting protein 2(Jakmip2)
Fam171b	241520	Mus musculus	family with sequence similarity 171, member B(Fam171b)
Ppip5k1	327655	Mus musculus	diphosphoinositol pentakisphosphate kinase 1(Ppip5k1)
Jakmip3	74004	Mus musculus	janus kinase and microtubule interacting protein 3(Jakmip3)
Parva	57342	Mus musculus	parvin, alpha(Parva)
A2m	232345	Mus musculus	alpha-2-macroglobulin(A2m)
Gapvd1	66691	Mus musculus	GTPase activating protein and VPS9 domains 1(Gapvd1)
Doc2g	60425	Mus musculus	double C2, gamma(Doc2g)
Nrp2	18187	Mus musculus	neuropilin 2(Nrp2)
Dync1h1	13424	Mus musculus	dynein cytoplasmic 1 heavy chain 1(Dync1h1)
Tmed9	67511	Mus musculus	transmembrane p24 trafficking protein 9(Tmed9)
Th	21823	Mus musculus	tyrosine hydroxylase(Th)
Gp1bb	14724	Mus musculus	glycoprotein Ib, beta polypeptide(Gp1bb)
Xpo5	72322	Mus musculus	exportin 5(Xpo5)
Akap8	56399	Mus musculus	A kinase (PRKA) anchor protein 8(Akap8)
Scd2	20250	Mus musculus	stearoyl-Coenzyme A desaturase 2(Scd2)
Ptprj	19271	Mus musculus	protein tyrosine phosphatase, receptor type, J(Ptprj)
Scd1	20249	Mus musculus	stearoyl-Coenzyme A desaturase 1(Scd1)
Ptprm	19274	Mus musculus	protein tyrosine phosphatase, receptor type, M(Ptprm)
Rnasel	24014	Mus musculus	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)(Rnasel)
Nat14	269854	Mus musculus	N-acetyltransferase 14(Nat14)
Cox7c	12867	Mus musculus	cytochrome c oxidase subunit 7C(Cox7c)
Foxo3	56484	Mus musculus	forkhead box O3(Foxo3)
Slc6a6	21366	Mus musculus	solute carrier family 6 (neurotransmitter transporter, taurine), member 6(Slc6a6)
Gcdh	270076	Mus musculus	glutaryl-Coenzyme A dehydrogenase(Gcdh)
C1qtnf5	235312	Mus musculus	C1q and tumor necrosis factor related protein 5(C1qtnf5)
Sfrp1	20377	Mus musculus	secreted frizzled-related protein 1(Sfrp1)
Rpph1	85029	Mus musculus	ribonuclease P RNA component H1(Rpph1)
Zhx3	320799	Mus musculus	zinc fingers and homeoboxes 3(Zhx3)
Zdhhc23	332175	Mus musculus	zinc finger, DHHC domain containing 23(Zdhhc23)
Plekha5	109135	Mus musculus	pleckstrin homology domain containing, family A member 5(Plekha5)
Heg1	77446	Mus musculus	heart development protein with EGF-like domains 1(Heg1)
Frrs1l	230235	Mus musculus	ferric-chelate reductase 1 like(Frrs1l)
Plekha2	83436	Mus musculus	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2(Plekha2)
Ano8	382014	Mus musculus	anoctamin 8(Ano8)
Kif1b	16561	Mus musculus	kinesin family member 1B(Kif1b)
Syn3	27204	Mus musculus	synapsin III(Syn3)
Trpm3	226025	Mus musculus	transient receptor potential cation channel, subfamily M, member 3(Trpm3)
Zkscan2	210162	Mus musculus	zinc finger with KRAB and SCAN domains 2(Zkscan2)
Ndel1	83431	Mus musculus	nudE neurodevelopment protein 1 like 1(Ndel1)
Fam13b	225358	Mus musculus	family with sequence similarity 13, member B(Fam13b)
Specc1	432572	Mus musculus	sperm antigen with calponin homology and coiled-coil domains 1(Specc1)
Zswim5	74464	Mus musculus	zinc finger SWIM-type containing 5(Zswim5)
Nme7	171567	Mus musculus	NME/NM23 family member 7(Nme7)
Tshz1	110796	Mus musculus	teashirt zinc finger family member 1(Tshz1)
Wfdc2	67701	Mus musculus	WAP four-disulfide core domain 2(Wfdc2)
AU015791	104932	Mus musculus	expressed sequence AU015791(AU015791)
Srrm2	75956	Mus musculus	serine/arginine repetitive matrix 2(Srrm2)
Fbxw2	30050	Mus musculus	F-box and WD-40 domain protein 2(Fbxw2)
Rnf169	108937	Mus musculus	ring finger protein 169(Rnf169)
Rnf168	70238	Mus musculus	ring finger protein 168(Rnf168)
Il34	76527	Mus musculus	interleukin 34(Il34)
Kif16b	16558	Mus musculus	kinesin family member 16B(Kif16b)
Lmln	239833	Mus musculus	leishmanolysin-like (metallopeptidase M8 family)(Lmln)
4930481A15Rik	74931	Mus musculus	RIKEN cDNA 4930481A15 gene(4930481A15Rik)
Nol4	319211	Mus musculus	nucleolar protein 4(Nol4)
Hypk	67693	Mus musculus	huntingtin interacting protein K(Hypk)
Tomm7	66169	Mus musculus	translocase of outer mitochondrial membrane 7(Tomm7)
Drp2	13497	Mus musculus	dystrophin related protein 2(Drp2)
Clic6	209195	Mus musculus	chloride intracellular channel 6(Clic6)
Ankrd11	77087	Mus musculus	ankyrin repeat domain 11(Ankrd11)
Gpam	14732	Mus musculus	glycerol-3-phosphate acyltransferase, mitochondrial(Gpam)
Sec14l5	665119	Mus musculus	SEC14-like lipid binding 5(Sec14l5)
Ncoa6	56406	Mus musculus	nuclear receptor coactivator 6(Ncoa6)
Cd47	16423	Mus musculus	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)(Cd47)
Cox5a	12858	Mus musculus	cytochrome c oxidase subunit 5A(Cox5a)
Klhl3	100503085	Mus musculus	kelch-like 3(Klhl3)
Tmub2	72053	Mus musculus	transmembrane and ubiquitin-like domain containing 2(Tmub2)
Slc7a1	11987	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1(Slc7a1)
Spcs1	69019	Mus musculus	signal peptidase complex subunit 1 homolog (S. cerevisiae)(Spcs1)
Tmem131	56030	Mus musculus	transmembrane protein 131(Tmem131)
Ccdc88c	68339	Mus musculus	coiled-coil domain containing 88C(Ccdc88c)
Tmem54	66260	Mus musculus	transmembrane protein 54(Tmem54)
Tmed2	56334	Mus musculus	transmembrane p24 trafficking protein 2(Tmed2)
Prune2	353211	Mus musculus	prune homolog 2(Prune2)
Tmem59l	67937	Mus musculus	transmembrane protein 59-like(Tmem59l)
Tjp1	21872	Mus musculus	tight junction protein 1(Tjp1)
Pex14	56273	Mus musculus	peroxisomal biogenesis factor 14(Pex14)
Per3	18628	Mus musculus	period circadian clock 3(Per3)
Ankrd28	105522	Mus musculus	ankyrin repeat domain 28(Ankrd28)
Rnaset2b	68195	Mus musculus	ribonuclease T2B(Rnaset2b)
Sort1	20661	Mus musculus	sortilin 1(Sort1)
Lrrc26	227618	Mus musculus	leucine rich repeat containing 26(Lrrc26)
Huwe1	59026	Mus musculus	HECT, UBA and WWE domain containing 1(Huwe1)
Mapk9	26420	Mus musculus	mitogen-activated protein kinase 9(Mapk9)
Cacna1e	12290	Mus musculus	calcium channel, voltage-dependent, R type, alpha 1E subunit(Cacna1e)
Cacna1c	12288	Mus musculus	calcium channel, voltage-dependent, L type, alpha 1C subunit(Cacna1c)
Srgap3	259302	Mus musculus	SLIT-ROBO Rho GTPase activating protein 3(Srgap3)
Cacna1a	12286	Mus musculus	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit(Cacna1a)
Car12	76459	Mus musculus	carbonic anhydrase 12(Car12)
Nrip3	78593	Mus musculus	nuclear receptor interacting protein 3(Nrip3)
Lrig1	16206	Mus musculus	leucine-rich repeats and immunoglobulin-like domains 1(Lrig1)
Pde7b	29863	Mus musculus	phosphodiesterase 7B(Pde7b)
Sdhd	66925	Mus musculus	succinate dehydrogenase complex, subunit D, integral membrane protein(Sdhd)
Mapk6	50772	Mus musculus	mitogen-activated protein kinase 6(Mapk6)
Prlr	19116	Mus musculus	prolactin receptor(Prlr)
Plxnb2	140570	Mus musculus	plexin B2(Plxnb2)
Rgs2	19735	Mus musculus	regulator of G-protein signaling 2(Rgs2)
Nt5c1a	230718	Mus musculus	5'-nucleotidase, cytosolic IA(Nt5c1a)
Eogt	101351	Mus musculus	EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase(Eogt)
4933431E20Rik	329735	Mus musculus	RIKEN cDNA 4933431E20 gene(4933431E20Rik)
Lrrc55	241528	Mus musculus	leucine rich repeat containing 55(Lrrc55)
Napb	17957	Mus musculus	N-ethylmaleimide sensitive fusion protein attachment protein beta(Napb)
Yeats2	208146	Mus musculus	YEATS domain containing 2(Yeats2)
Pdzd2	68070	Mus musculus	PDZ domain containing 2(Pdzd2)
Ralgps1	241308	Mus musculus	Ral GEF with PH domain and SH3 binding motif 1(Ralgps1)
Prepl	213760	Mus musculus	prolyl endopeptidase-like(Prepl)
Kif13a	16553	Mus musculus	kinesin family member 13A(Kif13a)
Atp11a	50770	Mus musculus	ATPase, class VI, type 11A(Atp11a)
Plxna4	243743	Mus musculus	plexin A4(Plxna4)
Exoc4	20336	Mus musculus	exocyst complex component 4(Exoc4)
Kif13b	16554	Mus musculus	kinesin family member 13B(Kif13b)
Tsc1	64930	Mus musculus	TSC complex subunit 1(Tsc1)
Cachd1	320508	Mus musculus	cache domain containing 1(Cachd1)
Lama5	16776	Mus musculus	laminin, alpha 5(Lama5)
Ern1	78943	Mus musculus	endoplasmic reticulum (ER) to nucleus signalling 1(Ern1)
Mau2	74549	Mus musculus	MAU2 sister chromatid cohesion factor(Mau2)
Sorbs1	20411	Mus musculus	sorbin and SH3 domain containing 1(Sorbs1)
Ppfibp1	67533	Mus musculus	PTPRF interacting protein, binding protein 1 (liprin beta 1)(Ppfibp1)
Nr3c2	110784	Mus musculus	nuclear receptor subfamily 3, group C, member 2(Nr3c2)
Fbn2	14119	Mus musculus	fibrillin 2(Fbn2)
Cxcl12	20315	Mus musculus	chemokine (C-X-C motif) ligand 12(Cxcl12)
Nos1ap	70729	Mus musculus	nitric oxide synthase 1 (neuronal) adaptor protein(Nos1ap)
Ntm	235106	Mus musculus	neurotrimin(Ntm)
Mrps14	64659	Mus musculus	mitochondrial ribosomal protein S14(Mrps14)
Wdfy3	72145	Mus musculus	WD repeat and FYVE domain containing 3(Wdfy3)
Tbca	21371	Mus musculus	tubulin cofactor A(Tbca)
Trim66	330627	Mus musculus	tripartite motif-containing 66(Trim66)
Myh10	77579	Mus musculus	myosin, heavy polypeptide 10, non-muscle(Myh10)
Lrp12	239393	Mus musculus	low density lipoprotein-related protein 12(Lrp12)
Arfgef2	99371	Mus musculus	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)(Arfgef2)
Dpp8	74388	Mus musculus	dipeptidylpeptidase 8(Dpp8)
Ubb	22187	Mus musculus	ubiquitin B(Ubb)
Zfp532	328977	Mus musculus	zinc finger protein 532(Zfp532)
Ptch1	19206	Mus musculus	patched 1(Ptch1)
Hrh2	15466	Mus musculus	histamine receptor H2(Hrh2)
Gnaq	14682	Mus musculus	guanine nucleotide binding protein, alpha q polypeptide(Gnaq)
Ubc	22190	Mus musculus	ubiquitin C(Ubc)
Hrh3	99296	Mus musculus	histamine receptor H3(Hrh3)
Ube2e1	22194	Mus musculus	ubiquitin-conjugating enzyme E2E 1(Ube2e1)
Otx2	18424	Mus musculus	orthodenticle homeobox 2(Otx2)
Mpeg1	17476	Mus musculus	macrophage expressed gene 1(Mpeg1)
AW011738	100382	Mus musculus	expressed sequence AW011738(AW011738)
Dynll1	56455	Mus musculus	dynein light chain LC8-type 1(Dynll1)
Dynll2	68097	Mus musculus	dynein light chain LC8-type 2(Dynll2)
Hmbox1	219150	Mus musculus	homeobox containing 1(Hmbox1)
Syt5	53420	Mus musculus	synaptotagmin V(Syt5)
Nsfl1c	386649	Mus musculus	NSFL1 (p97) cofactor (p47)(Nsfl1c)
Kif3b	16569	Mus musculus	kinesin family member 3B(Kif3b)
Scn8a	20273	Mus musculus	sodium channel, voltage-gated, type VIII, alpha(Scn8a)
Zfp641	239652	Mus musculus	zinc finger protein 641(Zfp641)
Pan2	103135	Mus musculus	PAN2 poly(A) specific ribonuclease subunit(Pan2)
Wnt2b	22414	Mus musculus	wingless-type MMTV integration site family, member 2B(Wnt2b)
Gpatch8	237943	Mus musculus	G patch domain containing 8(Gpatch8)
Usp54	78787	Mus musculus	ubiquitin specific peptidase 54(Usp54)
Zbtb16	235320	Mus musculus	zinc finger and BTB domain containing 16(Zbtb16)
Gpatch2	67769	Mus musculus	G patch domain containing 2(Gpatch2)
Rfxank	19727	Mus musculus	regulatory factor X-associated ankyrin-containing protein(Rfxank)
Crebl2	232430	Mus musculus	cAMP responsive element binding protein-like 2(Crebl2)
Cab39l	69008	Mus musculus	calcium binding protein 39-like(Cab39l)
Prrc2c	226562	Mus musculus	proline-rich coiled-coil 2C(Prrc2c)
Prrc2b	227723	Mus musculus	proline-rich coiled-coil 2B(Prrc2b)
Igf1r	16001	Mus musculus	insulin-like growth factor I receptor(Igf1r)
Bptf	207165	Mus musculus	bromodomain PHD finger transcription factor(Bptf)
Dnajc5	13002	Mus musculus	DnaJ heat shock protein family (Hsp40) member C5(Dnajc5)
Pfdn5	56612	Mus musculus	prefoldin 5(Pfdn5)
Kctd20	66989	Mus musculus	potassium channel tetramerisation domain containing 20(Kctd20)
Pfdn2	18637	Mus musculus	prefoldin 2(Pfdn2)
Ndufc2	68197	Mus musculus	NADH:ubiquinone oxidoreductase subunit C2(Ndufc2)
Wscd2	320916	Mus musculus	WSC domain containing 2(Wscd2)
Slirp	380773	Mus musculus	SRA stem-loop interacting RNA binding protein(Slirp)
Slit3	20564	Mus musculus	slit guidance ligand 3(Slit3)
Trim44	80985	Mus musculus	tripartite motif-containing 44(Trim44)
Rbm33	381626	Mus musculus	RNA binding motif protein 33(Rbm33)
Aff3	16764	Mus musculus	AF4/FMR2 family, member 3(Aff3)
Sphkap	77629	Mus musculus	SPHK1 interactor, AKAP domain containing(Sphkap)
Usp48	170707	Mus musculus	ubiquitin specific peptidase 48(Usp48)
Usp46	69727	Mus musculus	ubiquitin specific peptidase 46(Usp46)
Iqgap1	29875	Mus musculus	IQ motif containing GTPase activating protein 1(Iqgap1)
Zbtb43	71834	Mus musculus	zinc finger and BTB domain containing 43(Zbtb43)
Atp6v0c	11984	Mus musculus	ATPase, H+ transporting, lysosomal V0 subunit C(Atp6v0c)
Exoc6b	75914	Mus musculus	exocyst complex component 6B(Exoc6b)
Resp18	19711	Mus musculus	regulated endocrine-specific protein 18(Resp18)
Zfp462	242466	Mus musculus	zinc finger protein 462(Zfp462)
Nav1	215690	Mus musculus	neuron navigator 1(Nav1)
Lss	16987	Mus musculus	lanosterol synthase(Lss)
Dennd5a	19347	Mus musculus	DENN/MADD domain containing 5A(Dennd5a)
Etv6	14011	Mus musculus	ets variant 6(Etv6)
Kidins220	77480	Mus musculus	kinase D-interacting substrate 220(Kidins220)
1700048O20Rik	69430	Mus musculus	RIKEN cDNA 1700048O20 gene(1700048O20Rik)
Cdh19	227485	Mus musculus	cadherin 19, type 2(Cdh19)
Epn3	71889	Mus musculus	epsin 3(Epn3)
Ttc37	218343	Mus musculus	tetratricopeptide repeat domain 37(Ttc37)
Rnf144a	108089	Mus musculus	ring finger protein 144A(Rnf144a)
Chd2	244059	Mus musculus	chromodomain helicase DNA binding protein 2(Chd2)
Zfp109	56869	Mus musculus	zinc finger protein 109(Zfp109)
Fnbp4	55935	Mus musculus	formin binding protein 4(Fnbp4)
Tspan2	70747	Mus musculus	tetraspanin 2(Tspan2)
Nav3	260315	Mus musculus	neuron navigator 3(Nav3)
Zbtb38	245007	Mus musculus	zinc finger and BTB domain containing 38(Zbtb38)
Vgf	381677	Mus musculus	VGF nerve growth factor inducible(Vgf)
Gosr1	53334	Mus musculus	golgi SNAP receptor complex member 1(Gosr1)
Notch2	18129	Mus musculus	notch 2(Notch2)
Chd6	71389	Mus musculus	chromodomain helicase DNA binding protein 6(Chd6)
Dnali1	75563	Mus musculus	dynein, axonemal, light intermediate polypeptide 1(Dnali1)
Chd8	67772	Mus musculus	chromodomain helicase DNA binding protein 8(Chd8)
Acyp1	66204	Mus musculus	acylphosphatase 1, erythrocyte (common) type(Acyp1)
Snhg11	319317	Mus musculus	small nucleolar RNA host gene 11(Snhg11)
2310011J03Rik	66374	Mus musculus	RIKEN cDNA 2310011J03 gene(2310011J03Rik)
S100pbp	74648	Mus musculus	S100P binding protein(S100pbp)
Fan1	330554	Mus musculus	FANCD2/FANCI-associated nuclease 1(Fan1)
Specc1l	74392	Mus musculus	sperm antigen with calponin homology and coiled-coil domains 1-like(Specc1l)
Klhdc10	76788	Mus musculus	kelch domain containing 10(Klhdc10)
Sgtb	218544	Mus musculus	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta(Sgtb)
Tmem181c-ps	100040525	Mus musculus	transmembrane protein 181C, pseudogene(Tmem181c-ps)
Armcx4	100503043	Mus musculus	armadillo repeat containing, X-linked 4(Armcx4)
Ndufa3	66091	Mus musculus	NADH:ubiquinone oxidoreductase subunit A3(Ndufa3)
Gm14204	100045469	Mus musculus	predicted gene 14204(Gm14204)
Ndufa2	17991	Mus musculus	NADH:ubiquinone oxidoreductase subunit A2(Ndufa2)
Clmn	94040	Mus musculus	calmin(Clmn)
Cbl	12402	Mus musculus	Casitas B-lineage lymphoma(Cbl)
Dock1	330662	Mus musculus	dedicator of cytokinesis 1(Dock1)
Add3	27360	Mus musculus	adducin 3 (gamma)(Add3)
Add2	11519	Mus musculus	adducin 2 (beta)(Add2)
Gm15772	100034726	Mus musculus	predicted gene 15772(Gm15772)
Hspa12a	73442	Mus musculus	heat shock protein 12A(Hspa12a)
Nwd1	319555	Mus musculus	NACHT and WD repeat domain containing 1(Nwd1)
Clstn3	232370	Mus musculus	calsyntenin 3(Clstn3)
Mast4	328329	Mus musculus	microtubule associated serine/threonine kinase family member 4(Mast4)
Ccdc78	381077	Mus musculus	coiled-coil domain containing 78(Ccdc78)
Ptpn11	19247	Mus musculus	protein tyrosine phosphatase, non-receptor type 11(Ptpn11)
Calml4	75600	Mus musculus	calmodulin-like 4(Calml4)
Usp28	235323	Mus musculus	ubiquitin specific peptidase 28(Usp28)
Rere	68703	Mus musculus	arginine glutamic acid dipeptide (RE) repeats(Rere)
Ablim1	226251	Mus musculus	actin-binding LIM protein 1(Ablim1)
Dnajb6	23950	Mus musculus	DnaJ heat shock protein family (Hsp40) member B6(Dnajb6)
Snrpd1	20641	Mus musculus	small nuclear ribonucleoprotein D1(Snrpd1)
Polr3h	78929	Mus musculus	polymerase (RNA) III (DNA directed) polypeptide H(Polr3h)
Ndufb4	68194	Mus musculus	NADH:ubiquinone oxidoreductase subunit B4(Ndufb4)
Ndufb3	66495	Mus musculus	NADH:ubiquinone oxidoreductase subunit B3(Ndufb3)
Lpin2	64898	Mus musculus	lipin 2(Lpin2)
Kdm3b	277250	Mus musculus	KDM3B lysine (K)-specific demethylase 3B(Kdm3b)
Uhrf1bp1	224648	Mus musculus	UHRF1 (ICBP90) binding protein 1(Uhrf1bp1)
Cdca7l	217946	Mus musculus	cell division cycle associated 7 like(Cdca7l)
Kcnj10	16513	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 10(Kcnj10)
Sash1	70097	Mus musculus	SAM and SH3 domain containing 1(Sash1)
Prkab2	108097	Mus musculus	protein kinase, AMP-activated, beta 2 non-catalytic subunit(Prkab2)
Kcnj13	100040591	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 13(Kcnj13)
Dip2a	64451	Mus musculus	disco interacting protein 2 homolog A(Dip2a)
Limk1	16885	Mus musculus	LIM-domain containing, protein kinase(Limk1)
Usp13	72607	Mus musculus	ubiquitin specific peptidase 13 (isopeptidase T-3)(Usp13)
Lamc1	226519	Mus musculus	laminin, gamma 1(Lamc1)
